Feature,Importance
rightCheek_215,1.2192907817261582
rightCheek_177,1.1392378271804602
rightCheek_138,1.0419588512807145
rightCheek_213,1.0146907040374022
leftCheek_364,0.971807107142296
rightCheek_137,0.959523399440941
leftCheek_416,0.9540087098441313
leftCheek_394,0.9529186508948654
rightCheek_192,0.8757045859105836
leftCheek_376,0.8729305423763178
rightCheek_135,0.8540120070024637
rightCheek_147,0.8423479639763913
rightCheek_169,0.7681018097473599
leftCheek_430,0.766307296466664
rightCheek_187,0.7457104620022618
leftCheek_411,0.7283656302974264
leftCheek_434,0.6930555294256739
rightCheek_210,0.6925973266694507
lipsLowerOuter_314,0.6867651500952214
rightCheek_207,0.6640493265556423
rightCheek_214,0.6635543769601567
leftCheek_427,0.6574021151034656
lipsUpperOuter_185,0.6571662983455793
lipsUpperInner_312,0.6418784816369657
rightCheek_203,0.6404567815517411
lipsLowerInner_317,0.6259530035345464
rightCheek_205,0.6256183485565707
lipsUpperOuter_61,0.6222024683598182
rightCheek_216,0.6176547349049542
leftCheek_423,0.6107472987008674
rightCheek_123,0.6056771682719735
leftCheek_352,0.6046803910977709
lipsUpperOuter_40,0.5955593627895382
lipsUpperInner_191,0.5939005202086521
leftCheek_422,0.59308228854613
lipsUpperInner_80,0.5810005451225355
leftCheek_426,0.5801732778225462
lipsUpperOuter_267,0.5799296344389067
noseRightCorner_98,0.5791968710285461
lipsUpperOuter_270,0.5731996841200703
leftCheek_425,0.5667178567727233
leftCheek_436,0.5615141961411839
lipsUpperInner_310,0.5597426382417214
lipsLowerInner_78,0.5576522351420989
rightCheek_212,0.5561806597939509
lipsLowerInner_178,0.5556285432336415
lipsUpperInner_311,0.5518630441700704
lipsLowerOuter_291,0.5516374603953736
lipsUpperOuter_409,0.5515014772693075
lipsUpperOuter_37,0.5503768620675656
noseLeftCorner_327,0.5478975234177074
leftCheek_432,0.5462856370474827
lipsUpperInner_82,0.5438005270254137
lipsLowerInner_87,0.5413655463709742
lipsLowerInner_318,0.5413613545356835
lipsLowerInner_402,0.5409049849756388
lipsUpperInner_78,0.536043972048654
lipsUpperOuter_39,0.5358164975723873
lipsUpperInner_81,0.5356104522373775
lipsUpperInner_415,0.5349624210019192
lipsUpperOuter_269,0.5348175236875922
lipsLowerInner_95,0.5280490132005656
lipsLowerOuter_146,0.5268218936938127
lipsLowerInner_88,0.524587158064236
lipsLowerOuter_84,0.5240147637084879
lipsUpperInner_308,0.5223442750524416
rightEyebrowUpper_107,0.5173589945758308
lipsLowerInner_324,0.5169954089442692
lipsUpperOuter_291,0.5117307311119497
lipsLowerInner_308,0.5106220305824533
rightEyebrowUpper_193,0.5071568987850125
lipsLowerOuter_91,0.5066170877388886
lipsUpperOuter_0,0.4950993655952483
rightEyebrowUpper_55,0.4925787981645816
lipsLowerOuter_321,0.4914716351640836
leftCheek_266,0.48930615731285015
